69,224482.3425,3642221.5105,-99999,end
70,224483.1341,3642221.5369,-99999,end
71,224485.2861,3642221.6068,-99999,end
72,224486.0776,3642221.6332,-99999,end
73,224488.2296,3642221.7030,-99999,end
74,224489.0207,3642221.7315,-99999,end
75,224491.1727,3642221.8013,-99999,end
76,224491.9643,3642221.8278,-99999,end
77,224494.1166,3642221.8955,-99999,end
78,224494.9078,3642221.9240,-99999,end
79,224497.0602,3642221.9917,-99999,end
80,224497.8518,3642222.0182,-99999,end
81,224500.0032,3642222.0901,-99999,end
82,224500.7953,3642222.1144,-99999,end
83,224497.1268,3642239.5035,-99999,end
84,224496.3352,3642239.4774,-99999,end
85,224494.1832,3642239.4075,-99999,end
86,224493.3917,3642239.3811,-99999,end
87,224491.2398,3642239.3110,-99999,end
88,224490.4481,3642239.2849,-99999,end
89,224488.2963,3642239.2148,-99999,end
90,224487.5046,3642239.1886,-99999,end
91,224485.3527,3642239.1185,-99999,end
92,224484.5611,3642239.0924,-99999,end
93,224482.4092,3642239.0223,-99999,end
94,224481.6176,3642238.9961,-99999,end
95,224479.4657,3642238.9260,-99999,end
96,224478.6740,3642238.8999,-99999,end
97,224478.4854,3642239.7942,-99999,end
98,224479.2770,3642239.8204,-99999,end
99,224481.4290,3642239.8904,-99999,end
100,224482.2205,3642239.9166,-99999,end
101,224484.3724,3642239.9870,-99999,end
102,224485.1641,3642240.0128,-99999,end
103,224487.3161,3642240.0829,-99999,end
104,224488.1077,3642240.1094,-99999,end
105,224490.2596,3642240.1792,-99999,end
106,224491.0511,3642240.2053,-99999,end
107,224493.2031,3642240.2754,-99999,end
108,224493.9946,3642240.3016,-99999,end
109,224496.1466,3642240.3717,-99999,end
110,224496.9382,3642240.3978,-99999,end
111,224492.6198,3642260.8675,-99999,end
112,224492.4947,3642261.4605,-99999,end
113,224491.7031,3642261.4341,-99999,end
114,224491.8281,3642260.8417,-99999,end
115,224489.6763,3642260.7713,-99999,end
116,224489.5505,3642261.3676,-99999,end
117,224488.7596,3642261.3379,-99999,end
118,224488.8847,3642260.7449,-99999,end
119,224486.7328,3642260.6750,-99999,end
120,224486.6077,3642261.2681,-99999,end
121,224485.8161,3642261.2416,-99999,end
122,224485.9410,3642260.6493,-99999,end
123,224483.7892,3642260.5788,-99999,end
124,224483.6641,3642261.1718,-99999,end
125,224482.8726,3642261.1454,-99999,end
126,224482.9975,3642260.5530,-99999,end
127,224480.8457,3642260.4826,-99999,end
128,224480.7206,3642261.0756,-99999,end
129,224479.9290,3642261.0491,-99999,end
130,224480.0541,3642260.4561,-99999,end
131,224477.9022,3642260.3863,-99999,end
132,224477.7771,3642260.9793,-99999,end
133,224476.9855,3642260.9529,-99999,end
134,224477.1106,3642260.3599,-99999,end
135,224474.9585,3642260.2901,-99999,end
136,224474.8336,3642260.8831,-99999,end
137,224474.0420,3642260.8566,-99999,end
138,224474.1669,3642260.2643,-99999,end
139,224468.9681,3642284.9076,-99999,end
140,224469.7598,3642284.9337,-99999,end
141,224469.5711,3642285.8280,-99999,end
142,224468.7795,3642285.8019,-99999,end
143,224471.9117,3642285.0035,-99999,end
144,224472.7034,3642285.0297,-99999,end
145,224472.5147,3642285.9240,-99999,end
146,224471.7231,3642285.8978,-99999,end
147,224474.6666,3642285.9941,-99999,end
148,224475.4582,3642286.0202,-99999,end
149,224475.6469,3642285.1259,-99999,end
150,224474.8553,3642285.0998,-99999,end
151,224477.7987,3642285.1963,-99999,end
152,224478.5904,3642285.2222,-99999,end
153,224478.4018,3642286.1165,-99999,end
154,224477.6101,3642286.0903,-99999,end
155,224480.7422,3642285.2925,-99999,end
156,224481.5339,3642285.3187,-99999,end
157,224481.3453,3642286.2127,-99999,end
158,224480.5536,3642286.1868,-99999,end
159,224483.6858,3642285.3885,-99999,end
160,224484.4775,3642285.4147,-99999,end
161,224484.2888,3642286.3090,-99999,end
162,224483.4972,3642286.2828,-99999,end
163,224486.6294,3642285.4847,-99999,end
164,224487.4210,3642285.5109,-99999,end
165,224487.2323,3642286.4052,-99999,end
166,224486.4407,3642286.3791,-99999,end
167,224482.7722,3642303.7684,-99999,end
168,224483.5642,3642303.7928,-99999,end
169,224480.6207,3642303.6965,-99999,end
170,224479.8291,3642303.6701,-99999,end
171,224477.6772,3642303.6003,-99999,end
172,224476.8856,3642303.5739,-99999,end
173,224474.7332,3642303.5061,-99999,end
174,224473.9420,3642303.4776,-99999,end
175,224471.7901,3642303.4078,-99999,end
176,224470.9985,3642303.3814,-99999,end
177,224468.8466,3642303.3116,-99999,end
178,224468.0550,3642303.2851,-99999,end
179,224465.9031,3642303.2153,-99999,end
180,224465.1115,3642303.1889,-99999,end
