C-1,205809.5909,3635337.9139
C-2,205811.3269,3635338.3896
C-3,205812.3841,3635334.5318
C-4,205810.6481,3635334.0561
C-5,205829.526,3635342.1087
C-6,205831.3088,3635342.3572
C-7,205831.8609,3635338.3955
C-8,205830.0782,3635338.147
C-9,205849.8313,3635343.7536
C-10,205851.6312,3635343.7707
C-11,205851.6692,3635339.7709
C-12,205849.8693,3635339.7538
C-13,205870.1795,3635342.7474
C-14,205871.9666,3635342.5328
C-15,205871.4898,3635338.5613
C-16,205869.7026,3635338.7759
C-17,205890.3008,3635339.1447
C-18,205892.0304,3635338.6462
C-19,205890.9224,3635334.8027
C-20,205889.1928,3635335.3012
C-21,205914.3659,3635331.044
C-22,205916.0169,3635330.327
C-23,205914.4234,3635326.6581
C-24,205912.7724,3635327.3751
C-25,205933.4286,3635321.0744
C-26,205933.4286,3635319.2744
C-27,205929.4286,3635319.2744
C-28,205929.4286,3635321.0744
C-29,205955.5366,3635305.3028
C-30,205955.5363,3635303.5028
C-31,205951.5363,3635303.5035
C-32,205951.5367,3635305.3035
C-33,205971.5738,3635289.3405
C-34,205972.7462,3635287.9746
C-35,205969.711,3635285.3694
C-36,205968.5386,3635286.7353
C-37,205986.6699,3635268.8232
C-38,205987.6077,3635267.2867
C-39,205984.1934,3635265.2029
C-40,205983.2557,3635266.7394
C-41,205994.9599,3635254.0329
C-42,205994.9599,3635252.2329
C-43,205990.9599,3635252.2329
C-44,205990.9599,3635254.0329
C-45,206015.77,3635197.6593
C-46,206015.77,3635195.8593
C-47,206011.77,3635195.8593
C-48,206011.77,3635197.6593
C-49,206023.6828,3635174.697
C-50,206024.2808,3635172.9993
C-51,206020.508,3635171.6703
C-52,206019.91,3635173.3681
C-53,206033.6498,3635146.4016
C-54,206034.2478,3635144.7039
C-55,206030.4751,3635143.3749
C-56,206029.877,3635145.0727
C-57,206040.2789,3635127.5823
C-58,206040.8769,3635125.8846
C-59,206037.1041,3635124.5556
C-60,206036.5061,3635126.2534
C-61,206047.0472,3635108.8064
C-62,206047.692,3635107.1258
C-63,206043.9575,3635105.6928
C-64,206043.3127,3635107.3734
C-65,206056.5329,3635085.8673
C-66,206057.271,3635084.2255
C-67,206053.6228,3635082.5853
C-68,206052.8847,3635084.227
C-69,206067.3037,3635063.5027
C-70,206068.1327,3635061.905
C-71,206064.5822,3635060.0627
C-72,206063.7532,3635061.6605
C-73,206079.3056,3635041.7742
C-74,206080.2229,3635040.2255
C-75,206076.7814,3635038.187
C-76,206075.864,3635039.7358
