rc-1,205791.8258,3635323.5467
rc-2,205791.8258,3635323.5467
rc-3,205796.4296,3635325.4974
rc-4,205792.1229,3635335.7713
rc-5,205787.5186,3635333.8218
rc-6,205787.5186,3635333.8218
rc-7,205791.8258,3635323.5467
rc-8,205809.224,3635331.694
rc-9,205814.8169,3635333.2302
rc-10,205812.751,3635340.7516
rc-11,205807.1581,3635339.2155
rc-12,205828.3621,3635335.9877
rc-13,205834.1061,3635336.7917
rc-14,205833.0249,3635344.5164
rc-15,205827.2809,3635343.7124
rc-16,205847.8885,3635337.8341
rc-17,205853.6882,3635337.8907
rc-18,205853.612,3635345.6903
rc-19,205847.8123,3635345.6337
rc-20,205867.4915,3635337.1277
rc-21,205873.2502,3635336.4363
rc-22,205874.18,3635344.1807
rc-23,205868.4214,3635344.8721
rc-24,205886.7448,3635334.0295
rc-25,205892.3179,3635332.423
rc-26,205894.4784,3635339.9179
rc-27,205888.9053,3635341.5244
rc-28,205910.1811,3635326.4291
rc-29,205915.501,3635324.1186
rc-30,205918.6082,3635331.273
rc-31,205913.2883,3635333.5835
rc-32,205928.5284,3635316.2716
rc-33,205934.3284,3635316.2716
rc-34,205934.3284,3635324.0716
rc-35,205928.5284,3635324.0716
rc-36,205949.6372,3635307.3038
rc-37,205949.6361,3635301.5038
rc-38,205957.4361,3635301.5024
rc-39,205957.4372,3635307.3024
rc-40,205971.7187,3635292.1006
rc-41,205965.7999,3635287.0203
rc-42,205969.2658,3635282.3516
rc-43,205975.488,3635287.6923
rc-44,205971.7187,3635292.1006
rc-45,205980.5962,3635267.4497
rc-46,205983.6177,3635262.4989
rc-47,205990.2757,3635266.5624
rc-48,205987.2541,3635271.5132
rc-49,205989.0599,3635256.0329
rc-50,205989.0599,3635250.2329
rc-51,205996.8599,3635250.2329
rc-52,205996.8599,3635256.0329
rc-53,206009.87,3635199.6593
rc-54,206018.4805,3635199.6593
rc-55,206017.67,3635193.8593
rc-56,206009.87,3635193.8593
rc-57,206009.87,3635199.6593
rc-58,206016.9814,3635174.4569
rc-59,206018.9084,3635168.9869
rc-60,206026.2654,3635171.5779
rc-61,206024.3384,3635177.0489
rc-62,206027.42,3635146.328
rc-63,206029.347,3635140.857
rc-64,206036.704,3635143.449
rc-65,206034.777,3635148.919
rc-66,206032.7767,3635127.0605
rc-67,206034.7037,3635121.5895
rc-68,206044.6063,3635125.0775
rc-69,206042.6793,3635130.5485
rc-70,206050.2198,3635105.216
rc-71,206047.1138,3635111.7141
rc-72,206041.2318,3635109.457
rc-73,206044.3378,3635102.9589
rc-74,206050.5601,3635086.1423
rc-75,206053.5125,3635079.5754
rc-76,206059.5956,3635082.3103
rc-77,206056.6432,3635088.8772
rc-78,206064.6407,3635057.0513
rc-79,206061.3247,3635063.4421
rc-80,206067.2451,3635066.5142
rc-81,206070.5612,3635060.1232
rc-82,206072.4355,3635039.9992
rc-83,206075.4183,3635035.025
rc-84,206083.6515,3635039.9621
rc-85,206080.6686,3635044.9363
rc-86,206084.3901,3635017.2346
rc-87,206087.1754,3635013.0823
rc-88,206098.3036,3635020.5472
rc-89,206095.5182,3635024.6995
