b-1,224486.5942,3642286.5194,0
b-2,224487.1139,3642286.5364,0
b-3,224487.1309,3642286.0167,0
b-4,224486.6112,3642285.9997,0
b-5,224483.6508,3642286.4232,0
b-6,224484.1705,3642286.4402,0
b-7,224484.1875,3642285.9205,0
b-8,224483.6678,3642285.9035,0
b-9,224480.697,3642286.3366,0
b-10,224481.2368,3642286.3543,0
b-11,224481.2544,3642285.8145,0
b-12,224480.7147,3642285.7969,0
b-13,224477.7536,3642286.2404,0
b-14,224478.2933,3642286.258,0
b-15,224478.311,3642285.7183,0
b-16,224477.7713,3642285.7007,0
b-17,224474.8098,3642286.1441,0
b-18,224475.3495,3642286.1618,0
b-19,224475.3672,3642285.6221,0
b-20,224474.8275,3642285.6044,0
b-21,224471.8767,3642286.0382,0
b-22,224472.3964,3642286.0552,0
b-23,224472.4134,3642285.5355,0
b-24,224471.8937,3642285.5185,0
b-25,224468.9333,3642285.942,0
b-26,224469.453,3642285.959,0
b-27,224469.47,3642285.4392,0
b-28,224468.9503,3642285.4222,0
b-29,224496.4368,3642239.8493,0
b-30,224496.9566,3642239.8658,0
b-31,224496.9731,3642239.3461,0
b-32,224496.4534,3642239.3296,0
b-33,224493.4933,3642239.7557,0
b-34,224494.0131,3642239.7722,0
b-35,224494.0296,3642239.2525,0
b-36,224493.5098,3642239.236,0
b-37,224490.5395,3642239.6718,0
b-38,224491.0792,3642239.689,0
b-39,224491.0964,3642239.1492,0
b-40,224490.5567,3642239.1321,0
b-41,224487.5956,3642239.5782,0
b-42,224488.1353,3642239.5954,0
b-43,224488.1525,3642239.0557,0
b-44,224487.6128,3642239.0385,0
b-45,224484.6521,3642239.4846,0
b-46,224485.1918,3642239.5018,0
b-47,224485.209,3642238.9621,0
b-48,224484.6693,3642238.9449,0
b-49,224481.7189,3642239.3814,0
b-50,224482.2386,3642239.3979,0
b-51,224482.2552,3642238.8782,0
b-52,224481.7354,3642238.8617,0
b-53,224478.7754,3642239.2878,0
b-54,224479.2951,3642239.3043,0
b-55,224479.3117,3642238.7846,0
b-56,224478.7919,3642238.7681,0
