ax-1,224477.9776,3642239.002,0
ax-2,224497.7709,3642239.632,0
ax-3,224479.0518,3642238.776,0
ax-4,224479.0353,3642239.296,0
ax-5,224481.9953,3642238.87,0
ax-6,224481.9788,3642239.39,0
ax-7,224484.922,3642239.493,0
ax-8,224484.9391,3642238.954,0
ax-9,224487.8655,3642239.587,0
ax-10,224487.8826,3642239.047,0
ax-11,224490.8094,3642239.68,0
ax-12,224490.8265,3642239.141,0
ax-13,224493.7532,3642239.764,0
ax-14,224493.7697,3642239.244,0
ax-15,224496.6967,3642239.858,0
ax-16,224496.7132,3642239.338,0
ax-17,224468.1358,3642285.656,0
ax-18,224487.9284,3642286.303,0
ax-19,224469.1932,3642285.951,0
ax-20,224469.2101,3642285.431,0
ax-21,224472.1366,3642286.047,0
ax-22,224472.1536,3642285.527,0
ax-23,224475.0797,3642286.153,0
ax-24,224475.0973,3642285.613,0
ax-25,224478.0235,3642286.249,0
ax-26,224478.0411,3642285.71,0
ax-27,224480.9669,3642286.345,0
ax-28,224480.9845,3642285.806,0
ax-29,224483.9106,3642286.432,0
ax-30,224483.9276,3642285.912,0
ax-31,224486.8541,3642286.528,0
ax-32,224486.8711,3642286.008,0
