93,206042.2521,3635129.6557,-99999,
94,206037.9606,3635128.1440,-99999,
95,206033.6690,3635126.6323,-99999,
96,206043.7139,3635125.5056,-99999,
97,206039.4224,3635123.9940,-99999,
98,206035.1309,3635122.4823,-99999,
99,206048.0144,3635108.2135,-99999,
100,206046.7638,3635110.8300,-99999,
101,206042.1890,3635109.0746,-99999,
102,206043.4397,3635106.4581,-99999,
103,206044.6903,3635103.8416,-99999,
104,206049.2651,3635105.5971,-99999,
105,206056.2918,3635087.9517,-99999,
106,206051.4856,3635085.7909,-99999,
107,206057.4810,3635085.3067,-99999,
108,206052.6748,3635083.1459,-99999,
109,206058.6701,3635082.6617,-99999,
110,206053.8639,3635080.5009,-99999,
111,206068.2819,3635062.9962,-99999,
112,206066.9462,3635065.5704,-99999,
113,206062.2684,3635063.1433,-99999,
114,206063.6040,3635060.5691,-99999,
115,206064.9396,3635057.9950,-99999,
116,206069.6174,3635060.4222,-99999,
117,206080.3422,3635043.9250,-99999,
118,206076.9120,3635041.8674,-99999,
119,206073.4818,3635039.8098,-99999,
120,206082.6051,3635040.1515,-99999,
121,206079.1749,3635038.0939,-99999,
122,206075.7447,3635036.0363,-99999,
75,206010.5700,3635198.9593,-99999,
76,206014.1700,3635198.9593,-99999,
77,206017.7700,3635198.9593,-99999,
78,206016.5700,3635194.5593,-99999,
79,206013.5700,3635194.5593,-99999,
80,206010.5700,3635194.5593,-99999,
81,206023.9111,3635176.1558,-99999,
82,206020.8929,3635175.0927,-99999,
83,206017.8746,3635174.0295,-99999,
84,206025.3729,3635172.0058,-99999,
85,206022.3547,3635170.9426,-99999,
86,206019.3365,3635169.8794,-99999,
87,206034.3497,3635148.0265,-99999,
88,206031.3315,3635146.9633,-99999,
89,206028.3133,3635145.9001,-99999,
90,206035.8116,3635143.8764,-99999,
91,206032.7934,3635142.8132,-99999,
92,206029.7751,3635141.7501,-99999,
55,205966.7249,3635286.8830,-99999,
56,205969.2138,3635289.0193,-99999,
57,205971.6420,3635291.1035,-99999,
58,205974.5078,3635287.7648,-99999,
59,205971.6243,3635285.2898,-99999,
60,205969.3479,3635283.3359,-99999,
37,205913.6515,3635332.6626,-99999,
38,205912.3767,3635329.7274,-99999,
39,205911.1020,3635326.7923,-99999,
40,205917.6873,3635330.9098,-99999,
41,205916.4126,3635327.9747,-99999,
42,205915.1378,3635325.0395,-99999,
43,205929.2284,3635323.3716,-99999,
44,205929.2284,3635320.1716,-99999,
45,205929.2284,3635316.9716,-99999,
46,205933.6284,3635323.3716,-99999,
47,205933.6477,3635320.1744,-99999,
48,205933.6477,3635316.9716,-99999,
49,205956.7370,3635306.6025,-99999,
50,205953.5370,3635306.6031,-99999,
51,205950.3370,3635306.6037,-99999,
52,205956.7361,3635302.2031,-99999,
53,205953.5362,3635302.2031,-99999,
54,205950.3362,3635302.2037,-99999,
61,205987.0213,3635270.5510,-99999,
62,205984.2898,3635268.8839,-99999,
63,205981.5584,3635267.2169,-99999,
64,205989.3135,3635266.7952,-99999,
65,205986.5820,3635265.1282,-99999,
66,205983.8505,3635263.4611,-99999,
67,205996.1599,3635255.3329,-99999,
68,205992.9599,3635255.3329,-99999,
69,205989.7599,3635255.3329,-99999,
70,205996.1599,3635250.9329,-99999,
71,205992.9599,3635250.9329,-99999,
72,205989.7599,3635250.9329,-99999,
123,206095.3252,3635023.7307,-99999,
124,206092.0033,3635021.5024,-99999,
125,206088.6815,3635019.2741,-99999,
126,206085.3596,3635017.0458,-99999,
127,206097.3307,3635020.7410,-99999,
128,206094.0101,3635018.5109,-99999,
129,206090.6882,3635016.2826,-99999,
130,206087.3664,3635014.0543,-99999,
131,206000.0650,3635224.6390,-99999,
132,206003.9700,3635224.6390,-99999,
133,206007.8760,3635224.6390,-99999,
7,205808.0185,3635338.7259,-99999,
8,205808.8660,3635335.6401,-99999,
9,205809.7136,3635332.5544,-99999,
10,205812.2614,3635339.8912,-99999,
11,205813.1089,3635336.8055,-99999,
12,205813.9565,3635333.7198,-99999,
13,205828.0711,3635343.1162,-99999,
14,205828.5147,3635339.9471,-99999,
15,205828.9583,3635336.7780,-99999,
16,205832.4287,3635343.7262,-99999,
17,205832.8722,3635340.5570,-99999,
18,205833.3158,3635337.3879,-99999,
19,205848.5191,3635344.9308,-99999,
20,205848.5504,3635341.7407,-99999,
21,205848.5816,3635338.5311,-99999,
22,205852.9189,3635344.9835,-99999,
23,205852.9501,3635341.7837,-99999,
24,205852.9814,3635338.5839,-99999,
25,205869.0330,3635344.0937,-99999,
26,205868.6515,3635340.9165,-99999,
27,205868.2700,3635337.7393,-99999,
28,205873.4016,3635343.5691,-99999,
29,205873.0201,3635340.3919,-99999,
30,205872.6386,3635337.2148,-99999,
31,205889.3840,3635340.6579,-99999,
32,205888.4977,3635337.5831,-99999,
33,205887.6113,3635334.5083,-99999,
34,205893.6119,3635339.4391,-99999,
35,205892.7255,3635336.3643,-99999,
36,205891.8392,3635333.2895,-99999,
p1,205788.4361,3635333.4410,-99999,
p2,205789.6861,3635330.4599,-99999,
p3,205790.9361,3635327.4789,-99999,
p3*,205792.1861,3635324.4978,-99999,
p4,205791.7557,3635334.8340,-99999,
p5,205793.0042,3635331.8564,-99999,
p6,205794.2549,3635328.8736,-99999,
p6*,205795.5057,3635325.8908,-99999,
